City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,59.81,82,99,9.62,overcast clouds
1,Port Moresby,PG,-9.4431,147.1797,85.42,66,75,5.75,broken clouds
2,Provideniya,RU,64.3833,-173.3,28.9,51,15,12.21,few clouds
3,Batagay-Alyta,RU,67.8006,130.4114,19.89,92,100,12.77,light snow
4,Pevek,RU,69.7008,170.3133,21.15,71,100,8.08,overcast clouds
5,Bafq,IR,31.6128,55.4107,67.57,50,1,2.93,clear sky
6,Vardo,NO,70.3705,31.1107,28.17,73,100,8.7,overcast clouds
7,Hobart,AU,-42.8794,147.3294,68.25,57,75,19.57,broken clouds
8,Hobyo,SO,5.3505,48.5268,83.79,71,100,16.49,light rain
9,Ushuaia,AR,-54.8,-68.3,38.86,87,20,9.22,few clouds
10,Pathein,MM,16.7833,94.7333,90.14,51,14,11.7,few clouds
11,Kodiak,US,57.79,-152.4072,45.91,71,100,9.22,overcast clouds
12,Longyearbyen,SJ,78.2186,15.6401,12.04,67,100,2.3,overcast clouds
13,Price,US,39.5994,-110.8107,52.86,43,100,12.66,overcast clouds
14,Baykit,RU,61.67,96.37,34.11,63,100,9.13,overcast clouds
15,Kapaa,US,22.0752,-159.319,84.18,78,40,14.97,light rain
16,Lagoa,PT,39.05,-27.9833,60.44,82,12,3.31,few clouds
17,Lebu,CL,-37.6167,-73.65,51.93,91,1,14.18,clear sky
18,Srednekolymsk,RU,67.45,153.6833,34.11,100,100,2.82,overcast clouds
19,Jamestown,US,42.097,-79.2353,54.99,96,100,9.22,thunderstorm with rain
20,Ponta Do Sol,PT,32.6667,-17.1,64.71,77,0,4.45,clear sky
21,Upernavik,GL,72.7868,-56.1549,-2.33,88,7,5.73,clear sky
22,Qaanaaq,GL,77.484,-69.3632,5.29,67,25,6.87,scattered clouds
23,Kamenka,RU,51.3223,42.7678,36.86,58,4,3.44,clear sky
24,Cayenne,GF,4.9333,-52.3333,81.09,1,100,5.99,overcast clouds
25,Narsaq,GL,60.9167,-46.05,41.22,82,99,2.71,overcast clouds
26,Tasiilaq,GL,65.6145,-37.6368,19.26,60,81,4.94,broken clouds
27,Bluff,NZ,-46.6,168.3333,59.74,71,64,10.42,broken clouds
28,Albany,US,42.6001,-73.9662,56.79,52,100,2.19,overcast clouds
29,Tomaszow Mazowiecki,PL,51.5313,20.0086,51.57,71,38,2.51,scattered clouds
30,Kathu,TH,7.9178,98.3332,85.82,99,100,6.73,overcast clouds
31,Rikitea,PF,-23.1203,-134.9692,76.46,71,100,5.53,overcast clouds
32,Victoria,HK,22.2855,114.1577,65.32,90,100,8.99,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,63.36,53,10,5.32,clear sky
34,Nizhniy Chir,RU,48.3597,43.0865,45.91,53,100,9.95,overcast clouds
35,Rio Grande,BR,-32.035,-52.0986,49.95,73,1,9.89,clear sky
36,Atuona,PF,-9.8,-139.0333,78.22,82,100,14.54,light rain
37,Bayanday,RU,53.0661,105.5139,61.79,48,100,2.01,overcast clouds
38,Ahmadnagar,IN,19.0833,74.7333,80.01,50,0,7.29,clear sky
39,Walvis Bay,NA,-22.9575,14.5053,56.35,94,0,1.14,clear sky
40,Egvekinot,RU,66.3167,-179.1667,19.02,62,38,3.13,scattered clouds
41,Chuy,UY,-33.6971,-53.4616,50.34,85,12,6.33,few clouds
42,Cape Town,ZA,-33.9258,18.4232,59.11,82,0,5.01,clear sky
43,Bonavista,CA,48.6499,-53.1147,37.06,96,100,2.01,overcast clouds
44,Ulaanbaatar,MN,47.9077,106.8832,50.13,29,0,2.24,clear sky
45,Sorong,ID,-0.8833,131.25,84.69,72,35,6.78,scattered clouds
46,Punta Arenas,CL,-53.15,-70.9167,35.71,93,0,10.36,clear sky
47,Dankov,RU,53.2515,39.1555,38.97,62,100,6.98,overcast clouds
48,Saint-Philippe,RE,-21.3585,55.7679,72.99,80,0,2.53,clear sky
49,Nikolskoye,RU,59.7035,30.7861,40.91,93,69,5.59,broken clouds
50,Leningradskiy,RU,69.3833,178.4167,19.09,77,59,8.46,broken clouds
51,Banjar,ID,-8.19,114.9675,87.33,62,96,1.7,overcast clouds
52,Dikson,RU,73.5069,80.5464,14.18,93,100,11.92,overcast clouds
53,Kavieng,PG,-2.5744,150.7967,83.82,76,11,9.78,light rain
54,Georgetown,MY,5.4112,100.3354,82.35,88,20,4.61,few clouds
55,Bilma,NE,18.6853,12.9164,88.95,11,7,8.9,clear sky
56,Saskylakh,RU,71.9167,114.0833,18.03,88,35,6.87,scattered clouds
57,Mar Del Plata,AR,-38.0023,-57.5575,51.82,70,75,14.97,light rain
58,Cabo San Lucas,MX,22.8909,-109.9124,77.05,69,16,14.41,few clouds
59,Zonguldak,TR,41.25,31.8333,42.01,94,8,3.67,clear sky
60,Taltal,CL,-25.4,-70.4833,60.37,83,33,2.86,scattered clouds
61,Moron,AR,-34.6534,-58.6198,56.97,64,3,6.17,clear sky
62,Busselton,AU,-33.65,115.3333,67.32,71,80,5.93,broken clouds
63,Aksha,RU,50.2814,113.2867,68.59,25,100,12.95,overcast clouds
64,Pingliang,CN,35.5392,106.6861,59.97,18,0,8.52,clear sky
65,Fortuna,US,40.5982,-124.1573,56.93,77,0,12.66,clear sky
66,Marzuq,YE,14.4,46.4667,75.99,48,64,2.21,broken clouds
67,Port Alfred,ZA,-33.5906,26.891,55.18,94,11,1.01,few clouds
68,Camacha,PT,33.0833,-16.3333,60.22,72,40,12.66,scattered clouds
69,Ancud,CL,-41.8697,-73.8203,49.23,92,8,4.05,clear sky
70,Hof,DE,50.3167,11.9167,46.62,85,100,4.61,overcast clouds
71,Barrow,US,71.2906,-156.7887,19.42,86,100,13.8,overcast clouds
72,Avarua,CK,-21.2078,-159.775,82.45,74,20,4.61,few clouds
73,Vaini,TO,-21.2,-175.2,82.56,83,75,13.8,broken clouds
74,Galeana,MX,24.8333,-100.0667,64.92,80,29,5.91,scattered clouds
75,Dingle,PH,10.9995,122.6711,86.92,61,32,8.97,scattered clouds
76,Poum,NC,-20.2333,164.0167,78.48,78,19,5.61,few clouds
77,Hasaki,JP,35.7333,140.8333,59.4,53,100,11.48,overcast clouds
78,Morro Bay,US,35.3658,-120.8499,73.94,78,9,3.0,clear sky
79,Juye,CN,35.3947,116.0883,77.7,21,0,2.8,clear sky
80,Hanyang,CN,32.1371,105.5126,60.91,49,100,1.45,overcast clouds
81,Sovetskiy,RU,61.3614,63.5842,29.97,82,100,9.53,overcast clouds
82,Khatanga,RU,71.9667,102.5,21.36,87,100,14.12,overcast clouds
83,San Cristobal,VE,7.7669,-72.225,77.18,96,83,3.49,broken clouds
84,Qasigiannguit,GL,68.8193,-51.1922,17.85,85,33,5.28,scattered clouds
85,Kysyl-Syr,RU,63.8986,122.7617,22.24,76,100,16.67,overcast clouds
86,Geraldton,AU,-28.7667,114.6,68.41,56,0,9.22,clear sky
87,Manyoni,TZ,-5.7467,34.8382,59.88,90,56,4.88,broken clouds
88,Snezhnogorsk,RU,69.1933,33.2531,20.98,90,98,5.3,overcast clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,72.34,91,7,5.7,clear sky
90,Svetlogorsk,BY,52.6333,29.7333,43.39,94,99,5.66,overcast clouds
91,Muriwai Beach,NZ,-36.8167,174.45,70.95,63,100,7.18,overcast clouds
92,Aklavik,CA,68.2191,-135.0107,36.93,92,100,13.38,overcast clouds
93,Bandarbeyla,SO,9.4942,50.8122,82.63,81,34,9.19,scattered clouds
94,Thompson,CA,55.7435,-97.8558,26.76,80,100,13.8,overcast clouds
95,Quesnel,CA,52.9999,-122.5029,63.1,31,0,10.36,clear sky
96,Prince Rupert,CA,54.3161,-130.3201,46.49,87,100,25.32,light rain
97,Khandyga,RU,62.6667,135.6,42.93,67,34,9.46,scattered clouds
98,Goderich,CA,43.7501,-81.7165,53.92,82,100,9.22,overcast clouds
99,New Norfolk,AU,-42.7826,147.0587,67.91,61,100,1.99,overcast clouds
100,Airai,TL,-8.9266,125.4092,74.53,46,98,5.55,overcast clouds
101,Arraial Do Cabo,BR,-22.9661,-42.0278,75.09,80,0,10.38,clear sky
102,Kloulklubed,PW,7.0419,134.2556,79.3,75,98,13.87,overcast clouds
103,Vina Del Mar,CL,-33.0246,-71.5518,56.32,72,0,2.3,clear sky
104,Alofi,NU,-19.0595,-169.9187,84.09,79,100,8.05,overcast clouds
105,Tilichiki,RU,60.4667,166.1,26.89,84,8,3.6,clear sky
106,Shenjiamen,CN,29.9576,122.298,60.26,77,100,9.17,overcast clouds
107,Ilulissat,GL,69.2167,-51.1,17.62,67,22,0.0,few clouds
108,Beringovskiy,RU,63.05,179.3167,20.62,75,32,14.14,scattered clouds
109,Terrace Bay,CA,48.7834,-87.1,37.74,98,100,9.86,overcast clouds
110,Afsin,TR,38.2477,36.914,47.73,75,7,3.24,clear sky
111,Gorele,TR,41.0308,39.0031,52.14,95,100,9.62,light rain
112,Nioro,GM,13.35,-15.75,79.27,34,31,4.85,scattered clouds
113,Tianpeng,CN,30.9866,103.9393,57.67,52,100,2.46,overcast clouds
114,Iqaluit,CA,63.7506,-68.5145,25.7,86,40,5.99,scattered clouds
115,Sitka,US,57.0531,-135.33,48.09,76,100,18.41,light rain
116,Shache,CN,38.4167,77.2406,65.26,17,3,9.22,clear sky
117,Oromocto,CA,45.8351,-66.4792,44.53,83,100,8.05,overcast clouds
118,Huarmey,PE,-10.0681,-78.1522,65.55,87,90,6.87,overcast clouds
119,Palmer,US,42.1584,-72.3287,60.4,29,0,10.36,clear sky
120,Antsohihy,MG,-14.8796,47.9875,72.9,96,0,1.9,clear sky
121,Batticaloa,LK,7.7102,81.6924,82.85,77,52,3.18,broken clouds
122,Lensk,RU,60.7253,114.9278,28.18,63,100,10.27,overcast clouds
123,Klaksvik,FO,62.2266,-6.589,40.12,70,51,21.5,broken clouds
124,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,81,0,6.91,clear sky
125,Jaitaran,IN,26.2031,73.9364,85.66,45,80,19.13,broken clouds
126,Port Augusta,AU,-32.5,137.7667,69.4,37,0,4.56,clear sky
127,Paamiut,GL,61.994,-49.6678,29.93,92,79,5.84,broken clouds
128,Tokur,RU,53.1333,132.9,38.95,61,100,1.39,overcast clouds
129,Namibe,AO,-15.1961,12.1522,72.68,72,41,8.37,scattered clouds
130,Sawtell,AU,-30.3833,153.1,73.42,56,45,10.36,scattered clouds
131,Carnarvon,AU,-24.8667,113.6333,78.87,38,1,9.22,clear sky
132,Chokurdakh,RU,70.6333,147.9167,31.42,89,37,10.8,scattered clouds
133,Luderitz,NA,-26.6481,15.1594,72.39,27,0,10.69,clear sky
134,Bengkulu,ID,-3.8004,102.2655,82.35,69,100,2.8,overcast clouds
135,Tiarei,PF,-17.5333,-149.3333,84.0,72,100,4.47,light rain
136,Torbay,CA,47.6666,-52.7314,41.77,92,75,5.75,broken clouds
137,Sorland,NO,67.667,12.6934,36.93,63,100,19.42,overcast clouds
138,Kahului,US,20.8947,-156.47,78.82,72,40,19.57,scattered clouds
139,Balaghat,IN,21.8,80.1833,91.47,28,36,6.53,scattered clouds
140,Iracoubo,GF,5.4802,-53.2011,78.17,84,87,10.94,overcast clouds
141,Kokoda,PG,-8.8785,147.7407,83.39,81,93,4.38,overcast clouds
142,Adre,TD,13.4667,22.2,80.82,10,81,6.6,broken clouds
143,Batsfjord,NO,70.6345,29.7185,20.98,86,100,2.3,overcast clouds
144,Kieta,PG,-6.2167,155.6333,84.49,72,100,4.61,light rain
145,Paralimni,CY,35.0375,33.9833,65.14,95,24,4.0,few clouds
146,Cidreira,BR,-30.1811,-50.2056,63.77,75,100,7.36,overcast clouds
147,Kalabo,ZM,-14.97,22.6814,58.06,64,0,5.68,clear sky
148,Zhigansk,RU,66.7697,123.3711,20.1,79,100,22.88,overcast clouds
149,Melfi,IT,40.9965,15.6514,51.49,89,76,1.9,broken clouds
150,Acapulco,MX,16.8634,-99.8901,82.22,69,75,6.91,broken clouds
151,Esperance,AU,-33.8667,121.9,64.24,58,29,9.17,scattered clouds
152,Semnan,IR,35.5729,53.3971,58.84,77,75,0.0,broken clouds
153,Le Port,RE,-20.9373,55.2919,73.4,72,0,4.25,clear sky
154,Sao Felipe,BR,-14.8167,-41.3833,68.0,74,10,2.24,clear sky
155,East London,ZA,-33.0153,27.9116,60.39,75,0,5.75,clear sky
156,Wuwei,CN,37.9281,102.6414,57.34,20,0,2.17,clear sky
157,Balikpapan,ID,-1.2675,116.8289,85.19,74,20,2.3,few clouds
158,Lata,PT,40.1629,-8.3327,56.07,82,86,5.7,overcast clouds
159,Shingu,JP,33.7333,135.9833,64.8,34,100,5.19,overcast clouds
160,Faya,SA,18.3851,42.4509,63.12,56,98,2.62,overcast clouds
161,Pusad,IN,19.9,77.5833,91.29,28,64,13.13,broken clouds
162,Hamilton,US,39.1834,-84.5333,63.45,67,0,6.91,clear sky
163,Vila Velha,BR,-20.3297,-40.2925,78.75,78,0,10.36,clear sky
164,Owosso,US,42.9978,-84.1766,52.2,88,100,5.75,overcast clouds
165,Puerto Carreno,CO,6.189,-67.4859,78.19,83,41,3.02,scattered clouds
166,Tommot,RU,58.9564,126.2925,35.17,72,99,15.1,overcast clouds
167,Taoudenni,ML,22.6783,-3.9836,76.64,24,19,9.91,few clouds
168,Coahuayana,MX,18.7333,-103.6833,72.16,73,26,1.57,scattered clouds
169,Alindao,CF,5.0267,21.2088,72.41,86,100,3.78,overcast clouds
170,Paita,PE,-5.0892,-81.1144,68.02,84,56,11.97,broken clouds
171,Bundaberg,AU,-24.85,152.35,73.69,96,100,16.11,overcast clouds
172,Paragould,US,36.0584,-90.4973,67.78,62,100,4.47,overcast clouds
173,Ron Phibun,TH,8.1791,99.8542,88.72,79,96,4.99,overcast clouds
174,Touros,BR,-5.1989,-35.4608,78.17,86,12,9.53,few clouds
175,Faanui,PF,-16.4833,-151.75,80.87,72,99,8.7,overcast clouds
176,Itarema,BR,-2.9248,-39.9167,77.5,89,95,9.26,overcast clouds
177,Pilar,BR,-9.5972,-35.9567,75.13,91,88,1.92,overcast clouds
178,Nanortalik,GL,60.1432,-45.2371,36.7,85,100,3.13,overcast clouds
179,Lazaro Cardenas,MX,17.9583,-102.2,76.91,67,15,5.64,few clouds
180,Valparaiso,CL,-33.0393,-71.6273,56.48,72,0,2.3,clear sky
181,Den Helder,NL,52.9599,4.7593,48.18,83,12,5.99,few clouds
182,Charters Towers,AU,-20.1,146.2667,80.08,49,0,9.06,clear sky
183,Ahipara,NZ,-35.1667,173.1667,68.68,60,100,6.2,overcast clouds
184,San Ramon,US,37.7799,-121.978,75.27,50,0,17.27,clear sky
185,Araucaria,BR,-25.5931,-49.4103,68.52,90,36,1.43,scattered clouds
186,Pangnirtung,CA,66.1451,-65.7125,25.92,97,100,3.94,light snow
187,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,67.59,91,41,6.78,scattered clouds
188,Harper,LR,4.375,-7.7169,80.13,83,36,5.5,scattered clouds
189,Codrington,AU,-38.2667,141.9667,68.13,52,100,12.82,overcast clouds
190,Amalapuram,IN,16.5833,82.0167,86.7,70,47,4.94,scattered clouds
191,Mahebourg,MU,-20.4081,57.7,73.69,88,20,2.3,few clouds
192,Bomet,KE,-0.7813,35.3416,51.49,98,100,3.33,overcast clouds
193,Tsumeb,NA,-19.2333,17.7167,61.81,51,13,8.21,few clouds
194,Uryupinsk,RU,50.8047,42.0138,33.62,60,5,2.01,clear sky
195,Bambous Virieux,MU,-20.3428,57.7575,73.65,88,20,2.3,few clouds
196,Severo-Kurilsk,RU,50.6789,156.125,36.37,86,90,8.19,overcast clouds
197,Mount Gambier,AU,-37.8333,140.7667,62.51,82,100,14.97,overcast clouds
198,Beloha,MG,-25.1667,45.05,64.92,83,0,4.12,clear sky
199,San Pedro,PH,14.35,121.0167,90.36,64,40,9.22,scattered clouds
200,Axim,GH,4.8699,-2.2405,79.74,85,100,6.85,overcast clouds
201,Hithadhoo,MV,-0.6,73.0833,85.39,73,100,16.78,overcast clouds
202,Carauari,BR,-4.8828,-66.8958,73.29,97,100,1.07,overcast clouds
203,Namatanai,PG,-3.6667,152.4333,85.41,67,17,7.11,few clouds
204,Korba,IN,22.35,82.6833,91.53,22,5,8.7,clear sky
205,Kikwit,CD,-5.041,18.8162,70.47,95,100,2.53,overcast clouds
206,Houma,US,29.5958,-90.7195,75.99,92,40,3.0,scattered clouds
207,Tiksi,RU,71.6872,128.8694,16.7,80,42,10.09,scattered clouds
208,Trondheim,NO,63.4305,10.3951,46.45,80,100,7.0,light rain
209,Aksu,CN,41.1231,80.2644,64.33,19,6,5.19,clear sky
210,Biltine,TD,14.5333,20.9167,85.41,10,73,4.79,broken clouds
211,La Ronge,CA,55.1001,-105.2842,35.85,55,20,10.36,few clouds
212,Teknaf,BD,20.8624,92.3058,85.01,67,38,3.13,scattered clouds
213,Bredasdorp,ZA,-34.5322,20.0403,54.95,94,94,4.43,overcast clouds
214,Meulaboh,ID,4.1363,96.1285,79.83,82,100,2.75,light rain
215,Tabou,CI,4.423,-7.3528,80.2,83,36,5.39,scattered clouds
216,Castro,BR,-24.7911,-50.0119,60.04,91,66,2.53,broken clouds
217,Kangaatsiaq,GL,68.3065,-53.4641,14.56,91,62,5.84,broken clouds
218,Borgarnes,IS,64.5383,-21.9206,35.65,65,98,12.08,overcast clouds
219,Port Elizabeth,ZA,-33.918,25.5701,55.31,89,0,3.44,clear sky
220,Chulman,RU,56.8479,124.9104,34.84,88,100,9.51,light snow
221,Hambantota,LK,6.1241,81.1185,79.14,100,20,4.61,few clouds
222,Maningrida,AU,-12.0667,134.2667,88.65,46,92,12.15,overcast clouds
223,Ulaangom,MN,49.9811,92.0667,64.29,15,88,3.42,overcast clouds
224,Hilo,US,19.7297,-155.09,78.28,97,100,4.61,heavy intensity rain
225,Pichayevo,RU,53.2363,42.2032,37.18,64,100,5.41,overcast clouds
226,Havelock,US,34.8791,-76.9013,70.95,86,0,8.05,clear sky
227,Sarkand,KZ,45.41,79.9186,76.35,27,99,4.45,overcast clouds
